,kernel,pid,visit,accuracy,neg_log_loss,log_marginal_likelihood
76,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),36,3,0.7501149425287357,-0.5669461408676173,-84.78216041239139
77,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,1,0.9444444444444444,-0.2490632532799518,-9.514161878272306
78,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,2,0.558494623655914,-0.7034009472023106,-102.95121702455603
79,1**2 + 1**2 * DotProduct(sigma_0=1) + WhiteKernel(noise_level=1),37,3,0.5490530303030303,-0.700797900540676,-111.49578434284562
80,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,1,0.9636243386243386,-0.14331682447674282,-17.927964030865446
81,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,2,,,-3.0058791785890615
82,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),21,3,,,-2.9620278595765233
83,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,1,0.9652093596059114,-0.15980700250916227,-20.726810421000522
84,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,2,0.9459770114942527,-0.23074415310780308,-28.843492729698333
85,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),23,3,0.7827586206896552,-0.519038190265013,-77.34742472089584
86,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,1,0.6877667140825036,-0.6115790071811953,-117.78659931070325
87,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,2,0.7974358974358975,-0.4594890256069796,-63.10519979758563
88,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),25,3,0.9545454545454546,-0.15592797248126838,-12.533583242815071
89,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,1,0.5857142857142856,-0.6855131847993758,-47.825209261976134
90,1**2 + 1**2 * DotProduct(sigma_0=1) + 1**2 * RBF(length_scale=1) + WhiteKernel(noise_level=1),26,2,0.6758064516129032,-0.6079352638345067,-95.46626293270744
