,regressor,pid,visit,r2,max_error,MSE
79,KNeighborsRegressor(),37,3,-0.30723935889910264,-2.06288,-1.4088845564924242
80,RandomForestRegressor(),21,1,-1.216614569271311,-2.0868640000000003,-0.41916993817775133
81,RandomForestRegressor(),21,2,-0.5729608478843906,-0.6106379999999997,-0.06893442376293105
82,RandomForestRegressor(),21,3,0.1418201826394743,-0.4454099999999997,-0.04094408608589747
83,RandomForestRegressor(),23,1,-1.6487947525931055,-3.3839999999999995,-1.0256116918719211
84,RandomForestRegressor(),23,2,-0.12683557509011165,-2.710147999999999,-0.6123299344166665
85,RandomForestRegressor(),23,3,-0.7469567126783736,-2.3713100000000003,-1.3347220050072408
86,RandomForestRegressor(),25,1,-0.08397222857684565,-4.31057,-2.9626995434735135
87,RandomForestRegressor(),25,2,-0.1250856944704556,-2.539946000000001,-1.3220841272048434
88,RandomForestRegressor(),25,3,0.15442703233392785,-1.7674759999999998,-0.30764741308722937
89,RandomForestRegressor(),26,1,-1.0325049825570312,-2.1055560000000004,-1.5777301690858239
90,RandomForestRegressor(),26,2,-0.20684366101321014,-2.670085999999999,-1.8357352782278629
91,RandomForestRegressor(),26,3,-0.4036551707998564,-2.4066520000000002,-1.9697281856704365
92,RandomForestRegressor(),27,1,0.016354784456627813,-0.48627600000000015,-0.018653264956995975
93,RandomForestRegressor(),27,2,-0.11759607393192406,-0.37875800000000037,-0.016495606002358897
94,RandomForestRegressor(),27,3,0.15018750477451714,-0.2537640000000001,-0.008993543280511366
95,RandomForestRegressor(),28,1,-0.8572907911436676,-0.6664139999999996,-0.05944162556451611
96,RandomForestRegressor(),28,2,0.13170120681426684,-0.415904,-0.022863551608965537
97,RandomForestRegressor(),28,3,0.25394567448168714,-0.29202600000000034,-0.013877434274193533
98,RandomForestRegressor(),29,1,0.2829575775424547,-1.233254,-0.18155798649439092
99,RandomForestRegressor(),29,2,-0.5401852231975014,-2.426250000000001,-0.47937318131116696
100,RandomForestRegressor(),29,3,0.14950687233209942,-0.6969479999999999,-0.08789360872509677
101,RandomForestRegressor(),30,1,-0.2866686569599676,-1.8503800000000006,-0.3989971971268967
102,RandomForestRegressor(),30,2,-0.7496319374505853,-1.6796400000000005,-0.46948782789225313
103,RandomForestRegressor(),30,3,-0.7895996741162202,-1.5111199999999998,-0.3139976272636126
104,RandomForestRegressor(),31,1,0.2143428794013072,-0.25140400000000007,-0.010868055293218385
105,RandomForestRegressor(),31,2,0.13957592446827088,-0.29441999999999996,-0.012201822686666666
106,RandomForestRegressor(),31,3,-0.7354323704345603,-0.6725880000000004,-0.031548953383127694
107,RandomForestRegressor(),32,1,-0.33913433679354865,-1.2071239999999994,-0.14044181668131742
108,RandomForestRegressor(),32,2,-0.5156151461611114,-0.4845119999999999,-0.037030746331214566
109,RandomForestRegressor(),33,1,-0.020399709287857837,-0.7925860000000003,-0.11711721022743601
110,RandomForestRegressor(),33,2,-0.2534870821891646,-0.4913579999999997,-0.04677524118203867
111,RandomForestRegressor(),33,3,0.35614714723832697,-0.41050799999999976,-0.02242235862562502
